path,dataset,clase,split,sesion,camara,evento,duration,width,height,fps,score_prod
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-35-57 camara 1 - 57-556.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-36-16 camara 1 - 16-963.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-36-23 camara 1 - 23-408.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-51-42 camara 1 - 42-992.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-51-49 camara 1 - 49-250.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-52-51 camara 1 - 51-707.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-52-57 camara 0 - 57-903.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-57-07 camara 0 - 07-728.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-57-32 camara 0 - 32-895.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-59-07 camara 1 - 07-409.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-00-42 camara 0 - 42-408.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-20-10 camara 3 - 10-020.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-24-02 camara 3 - 02-972.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-24-09 camara 0 - 09-198.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-24-15 camara 0 - 15-436.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-25-17 camara 2 - 17-628.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-29-46 camara 2 - 46-542.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-29-52 camara 0 - 52-951.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-29-53 camara 1 - 53-789.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-30-05 camara 3 - 05-542.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-30-11 camara 0 - 11-831.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-30-12 camara 1 - 12-608.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-31-02 camara 3 - 02-014.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-31-08 camara 1 - 08-329.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-47-20 camara 1 - 20-384.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-17-59-45 camara 1 - 45-868.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-00-04 camara 1 - 04-957.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-07-25 camara 0 - 25-276.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-07-31 camara 0 - 31-499.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-07-50 camara 3 - 50-216.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-10-01 camara 1 - 01-022.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-11-16 camara 1 - 16-337.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-12-56 camara 1 - 56-855.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-13-03 camara 1 - 03-222.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-25-39 camara 3 - 39-530.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-25-51 camara 1 - 51-851.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-25-52 camara 0 - 52-649.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-13 camara 1 - 13-814.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-14 camara 0 - 14-608.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-20 camara 1 - 20-240.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-21 camara 3 - 21-070.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-32 camara 3 - 32-999.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-39 camara 3 - 39-218.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-45 camara 3 - 45-538.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-51 camara 3 - 51-958.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-28-43 camara 3 - 43-333.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-29-40 camara 2 - 40-923.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-30-06 camara 1 - 06-244.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-30-12 camara 1 - 12-622.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-30-18 camara 0 - 18-953.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-35-15 camara 0 - 15-531.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-39-40 camara 2 - 40-641.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-39-41 camara 3 - 41-519.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-45-21 camara 3 - 21-152.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-46-52 camara 0 - 52-989.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-47-00 camara 3 - 00-242.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-47-35 camara 3 - 35-854.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-47-43 camara 2 - 43-284.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-47-44 camara 3 - 44-179.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-51-41 camara 1 - 41-339.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-52-44 camara 3 - 44-579.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-53-29 camara 3 - 29-256.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-54-32 camara 1 - 32-918.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-55-04 camara 0 - 04-593.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-59-55 camara 1 - 55-917.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-59-56 camara 3 - 56-722.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-02-59 camara 0 - 59-566.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-03-00 camara 1 - 00-442.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-04-28 camara 3 - 28-667.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-04-29 camara 2 - 29-497.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-04-35 camara 2 - 35-197.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-04-47 camara 3 - 47-855.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-04-54 camara 1 - 54-341.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-06-10 camara 3 - 10-179.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-07-45 camara 3 - 45-431.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-09-26 camara 3 - 26-890.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-09-33 camara 3 - 33-354.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-09-46 camara 2 - 46-010.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-13-10 camara 1 - 10-058.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-15-36 camara 1 - 36-474.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-17-31 camara 1 - 31-776.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-17-38 camara 3 - 38-162.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-18-29 camara 3 - 29-343.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-19-26 camara 1 - 26-509.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-19-32 camara 1 - 32-943.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-23-35 camara 0 - 35-753.mp4,control_negativo,normal,val,,0,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-26-34 camara 3 - 34-915.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-28-37 camara 3 - 37-013.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-36-36 camara 3 - 36-912.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-37-09 camara 1 - 09-120.mp4,control_negativo,normal,train,,1,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-38-07 camara 3 - 07-223.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-42-36 camara 3 - 36-786.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-46-28 camara 2 - 28-141.mp4,control_negativo,normal,test,,2,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-46-28 camara 3 - 28-890.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-52-17 camara 3 - 17-001.mp4,control_negativo,normal,train,,3,,5.82,1920,1080,11.0,
