path,npy,flag,box,n_dets
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-35-57 camara 1 - 57-556.mp4,control_negativo__control_negativo__01-07-15-35-57_camara_1_-_57-556.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-51-42 camara 1 - 42-992.mp4,control_negativo__control_negativo__01-07-15-51-42_camara_1_-_42-992.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-52-57 camara 0 - 57-903.mp4,control_negativo__control_negativo__01-07-15-52-57_camara_0_-_57-903.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-15-59-07 camara 1 - 07-409.mp4,control_negativo__control_negativo__01-07-15-59-07_camara_1_-_07-409.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-24-02 camara 3 - 02-972.mp4,control_negativo__control_negativo__01-07-16-24-02_camara_3_-_02-972.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-25-17 camara 2 - 17-628.mp4,control_negativo__control_negativo__01-07-16-25-17_camara_2_-_17-628.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-29-53 camara 1 - 53-789.mp4,control_negativo__control_negativo__01-07-16-29-53_camara_1_-_53-789.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-30-12 camara 1 - 12-608.mp4,control_negativo__control_negativo__01-07-16-30-12_camara_1_-_12-608.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-16-47-20 camara 1 - 20-384.mp4,control_negativo__control_negativo__01-07-16-47-20_camara_1_-_20-384.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-07-25 camara 0 - 25-276.mp4,control_negativo__control_negativo__01-07-18-07-25_camara_0_-_25-276.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-10-01 camara 1 - 01-022.mp4,control_negativo__control_negativo__01-07-18-10-01_camara_1_-_01-022.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-13-03 camara 1 - 03-222.mp4,control_negativo__control_negativo__01-07-18-13-03_camara_1_-_03-222.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-25-52 camara 0 - 52-649.mp4,control_negativo__control_negativo__01-07-18-25-52_camara_0_-_52-649.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-20 camara 1 - 20-240.mp4,control_negativo__control_negativo__01-07-18-27-20_camara_1_-_20-240.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-27-39 camara 3 - 39-218.mp4,control_negativo__control_negativo__01-07-18-27-39_camara_3_-_39-218.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-28-43 camara 3 - 43-333.mp4,control_negativo__control_negativo__01-07-18-28-43_camara_3_-_43-333.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-30-12 camara 1 - 12-622.mp4,control_negativo__control_negativo__01-07-18-30-12_camara_1_-_12-622.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-39-40 camara 2 - 40-641.mp4,control_negativo__control_negativo__01-07-18-39-40_camara_2_-_40-641.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-46-52 camara 0 - 52-989.mp4,control_negativo__control_negativo__01-07-18-46-52_camara_0_-_52-989.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-47-43 camara 2 - 43-284.mp4,control_negativo__control_negativo__01-07-18-47-43_camara_2_-_43-284.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-52-44 camara 3 - 44-579.mp4,control_negativo__control_negativo__01-07-18-52-44_camara_3_-_44-579.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-18-55-04 camara 0 - 04-593.mp4,control_negativo__control_negativo__01-07-18-55-04_camara_0_-_04-593.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-02-59 camara 0 - 59-566.mp4,control_negativo__control_negativo__01-07-19-02-59_camara_0_-_59-566.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-04-29 camara 2 - 29-497.mp4,control_negativo__control_negativo__01-07-19-04-29_camara_2_-_29-497.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-04-54 camara 1 - 54-341.mp4,control_negativo__control_negativo__01-07-19-04-54_camara_1_-_54-341.mp4.npy,exists,,
/home/tomis/SBT/DATASETS/control_negativo/control_negativo/01-07-19-09-26 camara 3 - 26-890.mp4,control_negativo__control_negativo__01-07-19-09-26_camara_3_-_26-890.mp4.npy,exists,,
