camara,track,t_s,score,clip
cam_10_20260427_182312,28,29.5,0.5143,cam_10_20260427_182312_t00029.5s_id28_p0.514.mp4
cam_10_20260427_182312,28,31.0,0.8267,cam_10_20260427_182312_t00031.0s_id28_p0.827.mp4
cam_10_20260427_182312,28,39.6,0.9289,cam_10_20260427_182312_t00039.6s_id28_p0.929.mp4
cam_10_20260427_182312,28,48.2,0.9412,cam_10_20260427_182312_t00048.2s_id28_p0.941.mp4
cam_10_20260427_182312,28,54.7,0.9707,cam_10_20260427_182312_t00054.7s_id28_p0.971.mp4
cam_10_20260427_182312,28,60.5,0.8262,cam_10_20260427_182312_t00060.5s_id28_p0.826.mp4
cam_10_20260427_182312,399,191.5,0.8176,cam_10_20260427_182312_t00191.5s_id399_p0.818.mp4
cam_10_20260427_182312,399,197.3,0.4933,cam_10_20260427_182312_t00197.3s_id399_p0.493.mp4
cam_10_20260427_182312,1181,679.0,0.5832,cam_10_20260427_182312_t00679.0s_id1181_p0.583.mp4
cam_11_20260427_182312,1351,57.0,0.7206,cam_11_20260427_182312_t00057.0s_id1351_p0.721.mp4
cam_11_20260427_182312,1418,107.2,0.4673,cam_11_20260427_182312_t00107.2s_id1418_p0.467.mp4
cam_11_20260427_182312,2949,633.0,0.6529,cam_11_20260427_182312_t00633.0s_id2949_p0.653.mp4
cam_11_20260427_182312,3148,692.2,0.6678,cam_11_20260427_182312_t00692.2s_id3148_p0.668.mp4
cam_1_20260427_182312,5291,23.2,0.4995,cam_1_20260427_182312_t00023.2s_id5291_p0.500.mp4
cam_1_20260427_182312,5494,180.0,0.6388,cam_1_20260427_182312_t00180.0s_id5494_p0.639.mp4
cam_1_20260427_182312,5494,183.0,0.4616,cam_1_20260427_182312_t00183.0s_id5494_p0.462.mp4
cam_1_20260427_182312,5494,185.2,0.8001,cam_1_20260427_182312_t00185.2s_id5494_p0.800.mp4
cam_1_20260427_182312,5509,196.5,0.9268,cam_1_20260427_182312_t00196.5s_id5509_p0.927.mp4
cam_1_20260427_182312,5870,657.0,0.9592,cam_1_20260427_182312_t00657.0s_id5870_p0.959.mp4
