camara,track,t_s,score,clip
sr_stream_1,28,9.36,0.6846,sr_stream_1_t00009.4s_id28_p0.685.mp4
sr_stream_1,28,10.08,0.6663,sr_stream_1_t00010.1s_id28_p0.666.mp4
sr_stream_1,28,10.8,0.5844,sr_stream_1_t00010.8s_id28_p0.584.mp4
sr_stream_1,125,43.92,0.5433,sr_stream_1_t00043.9s_id125_p0.543.mp4
sr_stream_2,18,9.36,0.7072,sr_stream_2_t00009.4s_id18_p0.707.mp4
sr_stream_2,18,10.08,0.6663,sr_stream_2_t00010.1s_id18_p0.666.mp4
sr_stream_2,18,10.8,0.5049,sr_stream_2_t00010.8s_id18_p0.505.mp4
sr_stream_2,80,22.32,0.5348,sr_stream_2_t00022.3s_id80_p0.535.mp4
sr_stream_2,80,40.32,0.6542,sr_stream_2_t00040.3s_id80_p0.654.mp4
sr_stream_2,80,41.04,0.7311,sr_stream_2_t00041.0s_id80_p0.731.mp4
sr_stream_2,80,41.76,0.5015,sr_stream_2_t00041.8s_id80_p0.501.mp4
