camara,track,t_s,score,clip
sr_stream_1,28,7.92,0.3417,sr_stream_1_t00007.9s_id28_p0.342.mp4
sr_stream_1,28,9.36,0.6846,sr_stream_1_t00009.4s_id28_p0.685.mp4
sr_stream_1,28,10.08,0.6663,sr_stream_1_t00010.1s_id28_p0.666.mp4
sr_stream_1,28,10.8,0.5844,sr_stream_1_t00010.8s_id28_p0.584.mp4
sr_stream_1,28,12.24,0.3174,sr_stream_1_t00012.2s_id28_p0.317.mp4
sr_stream_1,42,16.56,0.3283,sr_stream_1_t00016.6s_id42_p0.328.mp4
sr_stream_1,37,26.64,0.3277,sr_stream_1_t00026.6s_id37_p0.328.mp4
sr_stream_1,110,40.32,0.3274,sr_stream_1_t00040.3s_id110_p0.327.mp4
sr_stream_1,125,43.2,0.4036,sr_stream_1_t00043.2s_id125_p0.404.mp4
sr_stream_1,125,43.92,0.5433,sr_stream_1_t00043.9s_id125_p0.543.mp4
sr_stream_2,18,8.64,0.3247,sr_stream_2_t00008.6s_id18_p0.325.mp4
sr_stream_2,18,9.36,0.7072,sr_stream_2_t00009.4s_id18_p0.707.mp4
sr_stream_2,18,10.08,0.6663,sr_stream_2_t00010.1s_id18_p0.666.mp4
sr_stream_2,18,10.8,0.5049,sr_stream_2_t00010.8s_id18_p0.505.mp4
sr_stream_2,66,22.32,0.4791,sr_stream_2_t00022.3s_id66_p0.479.mp4
sr_stream_2,80,22.32,0.5348,sr_stream_2_t00022.3s_id80_p0.535.mp4
sr_stream_2,80,38.16,0.3024,sr_stream_2_t00038.2s_id80_p0.302.mp4
sr_stream_2,80,38.88,0.3183,sr_stream_2_t00038.9s_id80_p0.318.mp4
sr_stream_2,80,39.6,0.4722,sr_stream_2_t00039.6s_id80_p0.472.mp4
sr_stream_2,80,40.32,0.6542,sr_stream_2_t00040.3s_id80_p0.654.mp4
sr_stream_2,80,41.04,0.7311,sr_stream_2_t00041.0s_id80_p0.731.mp4
sr_stream_2,80,41.76,0.5015,sr_stream_2_t00041.8s_id80_p0.501.mp4
sr_stream_3,189,36.72,0.3065,sr_stream_3_t00036.7s_id189_p0.307.mp4
sr_stream_3,189,37.44,0.3967,sr_stream_3_t00037.4s_id189_p0.397.mp4
sr_stream_4,8,2.88,0.3666,sr_stream_4_t00002.9s_id8_p0.367.mp4
sr_stream_4,41,11.52,0.4054,sr_stream_4_t00011.5s_id41_p0.405.mp4
sr_stream_4,154,21.6,0.3585,sr_stream_4_t00021.6s_id154_p0.358.mp4
sr_stream_4,90,22.32,0.4466,sr_stream_4_t00022.3s_id90_p0.447.mp4
sr_stream_4,6,24.48,0.3032,sr_stream_4_t00024.5s_id6_p0.303.mp4
sr_stream_4,176,25.2,0.4062,sr_stream_4_t00025.2s_id176_p0.406.mp4
sr_stream_4,2,39.6,0.3242,sr_stream_4_t00039.6s_id2_p0.324.mp4
sr_stream_4,161,44.64,0.4671,sr_stream_4_t00044.6s_id161_p0.467.mp4
