npy,label,split,marco,x0,y0,x1,y1,fps,clip_origen
L48__01-07-15-35-57 camara 1 - 57-556.npy,48,train,1.048,830,114,1021,305,8,01-07-15-35-57 camara 1 - 57-556.mp4
L48__01-07-15-36-16 camara 1 - 16-963.npy,48,train,1.032,831,115,1023,307,8,01-07-15-36-16 camara 1 - 16-963.mp4
L48__01-07-15-36-23 camara 1 - 23-408.npy,48,train,1.053,830,116,1029,315,8,01-07-15-36-23 camara 1 - 23-408.mp4
L48__01-07-15-51-42 camara 1 - 42-992.npy,48,train,1.094,806,116,1017,327,8,01-07-15-51-42 camara 1 - 42-992.mp4
L48__01-07-15-51-49 camara 1 - 49-250.npy,48,train,1.088,806,112,1010,316,8,01-07-15-51-49 camara 1 - 49-250.mp4
L48__01-07-15-52-51 camara 1 - 51-707.npy,48,train,1.086,817,107,1018,308,8,01-07-15-52-51 camara 1 - 51-707.mp4
L48__01-07-15-52-57 camara 0 - 57-903.npy,48,train,1.087,626,80,826,280,8,01-07-15-52-57 camara 0 - 57-903.mp4
L48__01-07-15-57-07 camara 0 - 07-728.npy,48,train,1.059,626,78,825,277,8,01-07-15-57-07 camara 0 - 07-728.mp4
L48__01-07-15-57-32 camara 0 - 32-895.npy,48,train,1.098,631,74,834,277,8,01-07-15-57-32 camara 0 - 32-895.mp4
L48__01-07-15-59-07 camara 1 - 07-409.npy,48,train,1.049,848,110,1037,299,8,01-07-15-59-07 camara 1 - 07-409.mp4
L48__01-07-16-00-42 camara 0 - 42-408.npy,48,train,1.076,894,138,1194,438,8,01-07-16-00-42 camara 0 - 42-408.mp4
L48__01-07-16-20-10 camara 3 - 10-020.npy,48,train,1.046,595,98,859,362,8,01-07-16-20-10 camara 3 - 10-020.mp4
L48__01-07-16-24-02 camara 3 - 02-972.npy,48,train,1.024,574,321,1056,803,8,01-07-16-24-02 camara 3 - 02-972.mp4
L48__01-07-16-24-09 camara 0 - 09-198.npy,48,train,1.04,652,93,857,298,8,01-07-16-24-09 camara 0 - 09-198.mp4
L48__01-07-16-24-15 camara 0 - 15-436.npy,48,train,1.013,640,85,853,298,8,01-07-16-24-15 camara 0 - 15-436.mp4
L48__01-07-16-25-17 camara 2 - 17-628.npy,48,train,1.061,539,66,847,374,8,01-07-16-25-17 camara 2 - 17-628.mp4
L48__01-07-16-29-46 camara 2 - 46-542.npy,48,val,1.012,1160,352,1646,838,8,01-07-16-29-46 camara 2 - 46-542.mp4
L48__01-07-16-29-52 camara 0 - 52-951.npy,48,train,1.025,643,92,841,290,8,01-07-16-29-52 camara 0 - 52-951.mp4
L48__01-07-16-29-53 camara 1 - 53-789.npy,48,train,1.085,809,117,1016,324,8,01-07-16-29-53 camara 1 - 53-789.mp4
L48__01-07-16-30-05 camara 3 - 05-542.npy,48,train,1.099,530,338,1079,887,8,01-07-16-30-05 camara 3 - 05-542.mp4
L48__01-07-16-30-11 camara 0 - 11-831.npy,48,train,1.085,638,83,851,296,8,01-07-16-30-11 camara 0 - 11-831.mp4
L48__01-07-16-30-12 camara 1 - 12-608.npy,48,train,1.009,808,123,1001,316,8,01-07-16-30-12 camara 1 - 12-608.mp4
L48__01-07-16-31-02 camara 3 - 02-014.npy,48,train,1.049,426,127,729,430,8,01-07-16-31-02 camara 3 - 02-014.mp4
L48__01-07-16-31-08 camara 1 - 08-329.npy,48,train,1.063,949,211,1277,539,8,01-07-16-31-08 camara 1 - 08-329.mp4
L48__01-07-16-47-20 camara 1 - 20-384.npy,48,train,1.024,749,130,975,356,8,01-07-16-47-20 camara 1 - 20-384.mp4
L48__01-07-17-59-45 camara 1 - 45-868.npy,48,train,1.071,826,113,1031,318,8,01-07-17-59-45 camara 1 - 45-868.mp4
L48__01-07-18-00-04 camara 1 - 04-957.npy,48,val,1.093,803,106,1018,321,8,01-07-18-00-04 camara 1 - 04-957.mp4
L48__01-07-18-07-25 camara 0 - 25-276.npy,48,train,1.031,898,153,1185,440,8,01-07-18-07-25 camara 0 - 25-276.mp4
L48__01-07-18-07-31 camara 0 - 31-499.npy,48,train,1.079,907,158,1204,455,8,01-07-18-07-31 camara 0 - 31-499.mp4
L48__01-07-18-07-50 camara 3 - 50-216.npy,48,val,1.012,330,195,649,514,8,01-07-18-07-50 camara 3 - 50-216.mp4
L48__01-07-18-10-01 camara 1 - 01-022.npy,48,train,1.09,821,105,1026,310,8,01-07-18-10-01 camara 1 - 01-022.mp4
L48__01-07-18-11-16 camara 1 - 16-337.npy,48,train,1.051,823,110,1016,303,8,01-07-18-11-16 camara 1 - 16-337.mp4
L48__01-07-18-12-56 camara 1 - 56-855.npy,48,train,1.096,851,101,1051,301,8,01-07-18-12-56 camara 1 - 56-855.mp4
L48__01-07-18-13-03 camara 1 - 03-222.npy,48,train,1.037,810,109,1012,311,8,01-07-18-13-03 camara 1 - 03-222.mp4
L48__01-07-18-25-39 camara 3 - 39-530.npy,48,train,1.06,293,211,676,594,8,01-07-18-25-39 camara 3 - 39-530.mp4
L48__01-07-18-25-51 camara 1 - 51-851.npy,48,train,1.014,995,155,1222,382,8,01-07-18-25-51 camara 1 - 51-851.mp4
L48__01-07-18-25-52 camara 0 - 52-649.npy,48,train,1.04,861,101,1106,346,8,01-07-18-25-52 camara 0 - 52-649.mp4
L48__01-07-18-27-13 camara 1 - 13-814.npy,48,train,1.07,920,179,1266,525,8,01-07-18-27-13 camara 1 - 13-814.mp4
L48__01-07-18-27-14 camara 0 - 14-608.npy,48,val,1.01,854,140,1124,410,8,01-07-18-27-14 camara 0 - 14-608.mp4
L48__01-07-18-27-20 camara 1 - 20-240.npy,48,train,1.06,960,207,1282,529,8,01-07-18-27-20 camara 1 - 20-240.mp4
L48__01-07-18-27-21 camara 3 - 21-070.npy,48,train,1.095,421,136,767,482,8,01-07-18-27-21 camara 3 - 21-070.mp4
L48__01-07-18-27-32 camara 3 - 32-999.npy,48,train,1.02,335,176,718,559,8,01-07-18-27-32 camara 3 - 32-999.mp4
L48__01-07-18-27-39 camara 3 - 39-218.npy,48,train,1.004,321,197,685,561,8,01-07-18-27-39 camara 3 - 39-218.mp4
L48__01-07-18-27-45 camara 3 - 45-538.npy,48,train,1.064,348,159,712,523,8,01-07-18-27-45 camara 3 - 45-538.mp4
L48__01-07-18-27-51 camara 3 - 51-958.npy,48,train,1.059,412,159,783,530,8,01-07-18-27-51 camara 3 - 51-958.mp4
L48__01-07-18-28-43 camara 3 - 43-333.npy,48,train,1.076,352,129,753,530,8,01-07-18-28-43 camara 3 - 43-333.mp4
L48__01-07-18-29-40 camara 2 - 40-923.npy,48,train,1.096,458,132,898,572,8,01-07-18-29-40 camara 2 - 40-923.mp4
L48__01-07-18-30-06 camara 1 - 06-244.npy,48,train,1.035,820,111,1006,297,8,01-07-18-30-06 camara 1 - 06-244.mp4
L48__01-07-18-30-12 camara 1 - 12-622.npy,48,train,1.095,818,103,1026,311,8,01-07-18-30-12 camara 1 - 12-622.mp4
