npy,label,split,marco,x0,y0,x1,y1,fps,dataset_tipo,clip_origen
L04__todo_showroom__accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_obvio_testTOMA_DE_DATOS_2_228__-corto-termino..npy,4,train,1.079,795,115,1019,339,25,todo_showroom,accion___4___showroom_ROBO_BONI_2_2024-12-17_12-10-28_obvio_testTOMA_DE_DATOS_2_228__-corto-termino..mp4
L14__ainhoa__accion___14___OCT04_primera_t1_504__-corte-guardo.__metadata-informacion.-Zona-centro-1.-Robo-abrigo..npy,14,val,1.062,873,152,1091,370,25,ainhoa,accion___14___OCT04_primera_t1_504__-corte-guardo.__metadata-informacion.-Zona-centro-1.-Robo-abrigo..mp4
L48__dia__accion___7___JUAN15ABRILtestcamara_2_8__Corte-hurgar._JUAN11.npy,48,train,1.098,797,111,998,312,25,dia,accion___7___JUAN15ABRILtestcamara_2_8__Corte-hurgar._JUAN11.mp4
"L04__todo_showroom__accion___4___showroom_ROBO_JOSE_1_2024-12-16_13-02-13_obvio_testTOMA_DE_DATOS_3_194__-Corte,-termino..npy",4,train,1.055,878,140,1300,562,25,todo_showroom,"accion___4___showroom_ROBO_JOSE_1_2024-12-16_13-02-13_obvio_testTOMA_DE_DATOS_3_194__-Corte,-termino..mp4"
L11__ainhoa__accion___11___OCT09_t4_98__-Corte--Agarra__metadata-informacion.-Zona-norte-4.-Robo-bolso..npy,11,val,1.024,777,172,1048,443,25,ainhoa,accion___11___OCT09_t4_98__-Corte--Agarra__metadata-informacion.-Zona-norte-4.-Robo-bolso..mp4
L11__ainhoa__accion___11___OCT03_primera_t4_389__-Corte--Agarro__metadata-informacion.-Zona-norte-4.-Robo-bolso..npy,11,val,1.052,783,173,1065,455,25,ainhoa,accion___11___OCT03_primera_t4_389__-Corte--Agarro__metadata-informacion.-Zona-norte-4.-Robo-bolso..mp4
"L02__ainhoa__accion___2___SEP30_t1_1140__-Corte,-dejo.__metadata-informacion,-zona-norte-1-Objeto,-camisa-Categoria-textil-Robo-bolso.npy",2,train,1.033,963,238,1274,549,25,ainhoa,"accion___2___SEP30_t1_1140__-Corte,-dejo.__metadata-informacion,-zona-norte-1-Objeto,-camisa-Categoria-textil-Robo-bolso.mp4"
"L48__dia__accion___48___MIGUEL1testcamara_3_76__Corte,-manipulo_JOSESEC1.npy",48,train,1.091,546,414,824,692,25,dia,"accion___48___MIGUEL1testcamara_3_76__Corte,-manipulo_JOSESEC1.mp4"
"L03__dia__accion___3___JUAN15ABRILtestcamara_1_6__Corte,-sacar._JUAN2.npy",3,train,1.098,812,73,1068,329,25,dia,"accion___3___JUAN15ABRILtestcamara_1_6__Corte,-sacar._JUAN2.mp4"
"L02__ainhoa__accion___2___SEP26_primera_t3_945__-corte,-dejo.__metadata-informacion-Zona-norte-3-Objeto-pantalon-Categoria-textil-Robo-bolso.npy",2,train,1.07,833,77,1096,340,25,ainhoa,"accion___2___SEP26_primera_t3_945__-corte,-dejo.__metadata-informacion-Zona-norte-3-Objeto-pantalon-Categoria-textil-Robo-bolso.mp4"
