camara,track,t_s,score,clip
sr_stream_1,174,49.0,0.8376,sr_stream_1_t00049.0s_id174_p0.838.mp4
sr_stream_4,3138,2.2,0.5356,sr_stream_4_t00002.2s_id3138_p0.536.mp4
sr_stream_4,3141,2.2,0.6855,sr_stream_4_t00002.2s_id3141_p0.686.mp4
sr_stream_4,2634,6.5,0.5842,sr_stream_4_t00006.5s_id2634_p0.584.mp4
sr_stream_4,3141,10.1,0.4946,sr_stream_4_t00010.1s_id3141_p0.495.mp4
sr_stream_4,3200,14.4,0.8592,sr_stream_4_t00014.4s_id3200_p0.859.mp4
sr_stream_4,3628,71.3,0.5486,sr_stream_4_t00071.3s_id3628_p0.549.mp4
sr_stream_4,4321,128.2,0.5602,sr_stream_4_t00128.2s_id4321_p0.560.mp4
sr_stream_4,4321,128.9,0.8884,sr_stream_4_t00128.9s_id4321_p0.888.mp4
sr_stream_4,4363,128.9,0.4758,sr_stream_4_t00128.9s_id4363_p0.476.mp4
sr_stream_4,4363,129.6,0.9202,sr_stream_4_t00129.6s_id4363_p0.920.mp4
